Feature ID	Taxon	Confidence
38f775a5461a7823735f30bc94f1425e	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola_A; s__Phocaeicola_A vulgatus	0.9999980392453732
6506370c77ed448bce7e4559cb40cf06	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__CAG-177; s__CAG-177 sp003538135	0.9998595681043426
122027742642bdb0c8b0504ec76f0346	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola_A; s__Phocaeicola_A massiliensis	0.9999970431834357
b067c99ca5953cdfe38e2650c81def88	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Agathobacter_164117; s__Agathobacter rectalis	0.9999244930067871
47519d326c88575b2c7628395900eac1	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus	0.999994374840971
d98fe8529cfcc70b813bb42569d145d4	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Agathobacter_164117; s__Agathobacter rectalis	0.9999389146600347
26344dfe39170bdcfb6859318d860071	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_H_857956; s__Bacteroides_H_857956 uniformis	0.851005381693543
68e219891db790322190bd466684b2fe	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola_A; s__Phocaeicola_A dorei	0.9999994096248808
0bb6ad189a4db484fd6331ca6f4124d8	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__TANB77; f__CAG-508; g__CAG-269; s__CAG-269 sp000431335	0.9998446539835691
fc82f3d159e61c66e1633b65e669027e	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 faecis	0.99454452618036
33fd72ad0cbf68000076129c1f309aa6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola_A; s__Phocaeicola_A vulgatus	0.9999967932792772
